,Unnamed: 0,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
26,26,URN:CornellLabOfOrnithology:EBIRD:OBS702861471,2024-11-21 17:13:00.264924,1832,domestic,avibase-533DD36C,Rock Pigeon,Columba livia,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Escola Estadual Rui Bloem,L8206672,H,-23.6108026,-46.6445339,1977-05-25,07:10:00,obsr440131,S52046317,Historical,P62,EBIRD,,,,,0,,0,1,0,,,,
27,27,URN:CornellLabOfOrnithology:EBIRD:OBS702855339,2024-11-21 17:13:00.264924,1832,domestic,avibase-533DD36C,Rock Pigeon,Columba livia,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Escola Estadual Rui Bloem,L8206672,H,-23.6108026,-46.6445339,1977-05-26,,obsr440131,S52045861,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,,
28,28,URN:CornellLabOfOrnithology:EBIRD:OBS702871499,2024-11-21 17:12:59.876838,28285,species,avibase-849B6005,Rufous-bellied Thrush,Turdus rufiventris,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-16,,obsr440131,S52046983,Historical,P62,EBIRD,,,,,1,,0,1,0,,"Foi neste dia que comecei a fazer a lista para minha casa--1) Todo cinza, azul reflexo, bico preto, *cere* branco, olho e pés pretos (sanhaço?) [sanhaço-cinza]--2) tipo coleirinha, dorso escuro, mancha branca no olho, no alto da cabeça, ventre claro [cambacica]--3) Pardais--4) pássaro-preto (Nego) [Nego era pássaro-preto, mas suponho que seria chupim]--5) andorinha [andorinha-pequena]--6) bentevi--7) visto um sabiá Turdus rufiventris. Fugido?--8) cinza em cima, amarelo embaixo, tipo sanhaço cantor [cambacica]",,
29,29,URN:CornellLabOfOrnithology:EBIRD:OBS702855340,2024-11-21 17:13:00.264924,32876,species,avibase-A7280FF0,Rufous-collared Sparrow,Zonotrichia capensis,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Escola Estadual Rui Bloem,L8206672,H,-23.6108026,-46.6445339,1977-05-26,,obsr440131,S52045861,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,,
32,32,URN:CornellLabOfOrnithology:EBIRD:OBS702870522,2024-11-21 17:12:59.876838,2230,species,avibase-ADD11A5F,Ruddy Ground Dove,Columbina talpacoti,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-23,,obsr440131,S52046905,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
34,34,URN:CornellLabOfOrnithology:EBIRD:OBS863558125,2024-11-19 07:45:13.09732,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
35,35,URN:CornellLabOfOrnithology:EBIRD:OBS863405341,2024-11-20 04:08:48.439111,34445,species,avibase-3EA3B6D4,Black-goggled Tanager,Trichothraupis melanops,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
36,36,URN:CornellLabOfOrnithology:EBIRD:OBS863558124,2024-11-19 07:45:13.09732,4175,species,avibase-77B4C75D,Black Jacobin,Florisuga fusca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
37,37,URN:CornellLabOfOrnithology:EBIRD:OBS863405337,2024-11-20 04:08:48.439111,34865,species,avibase-C72B6A62,Blue Dacnis,Dacnis cayana,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
38,38,URN:CornellLabOfOrnithology:EBIRD:OBS863558128,2024-11-19 07:45:13.09732,34865,species,avibase-C72B6A62,Blue Dacnis,Dacnis cayana,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
